,Topics of Gita,Gita Topic ID,Most Similar topics in Upanishads,Upanishads Topic ID,Similarity Score
0,"krishna,jayadratha,shraddha,ahamkara,arjuna,ikshvaku,sankhya,ashvattha,kusha,vishnu,vaishya,kshatriya,duryodhana,yuyudhana,devotee,bhishma,buddhi,sattva,kamadhuk,devotees,adhyatma,brahma,chitraratha,kshatriyas,vedic,akasha,purusha,yudhamanyu,yudhishthira,dharma,brihaspati,sanjaya,sacred,rajasic,shikhandi,bhima,adhidaiva,pritha,shaibya,kashi,gandharvas,duryodhanas,devote,draupadi,mantram,brahman,samadhi,adhibhuta,dhrishtadyumna,gods",0,"sage,watnadewa,jaiwali,sages,told,riddle,heard,butspirit,spoke,whoknows,thathe,speak,spirits,speaks,understood,spirit,wise,wisdom,saying,shounaka,said,bhuwaha,suwaha,devotee,knows,obey,palanjala,knew,hears,deny,spoken,understands,woof,speaking,knowthe,hiranyanabha,hearer,scholars,shout,affirms,asked,say,preached,whom,tell,proclaims,wajashrawas,wondered,king,obeys",1,0.6491545
1,"selfless,selflessly,selfish,selfishly,desires,unkindness,desire,suffering,greed,themselves,compassion,ego,self,devotees,fulfill,insatiable,happiness,desirer,nonbeing,oneself,compassionate,beings,worships,sinful,fulfills,devotion,misery,miserable,eternal,fulfilling,nonexistence,eternity,asceticism,loving,worship,egotistical,spiritual,spiritually,himself,myself,sin,devotee,heedlessness,lust,passions,sorrow,immortality,beloved,unpleasant,infatuated",1,"himself,self,selfexistent,oneself,desires,eternal,beings,desire,selfwilled,devotee,worship,sinful,worshipper,gods,godless,worships,worshipping,selfevident,mankind,sin,god,worshipped,whoever,itself,sinner,devotees,devotion,sins,spiritual,whosoever,herself,themselves,omniscient,wishes,owns,selfcreator,loving,whatever,nobody,belongs,individual,godfearing,butspirit,selfdepending,wisdom,divine,mindless,whose,arrogant,soul",3,0.77219033
2,"worships,worship,devotion,devotees,eternal,myself,beings,eternity,spiritually,spiritual,divine,devotee,gods,immortality,selfless,heaven,asceticism,selflessly,themselves,everlasting,devote,heavenly,celestial,fulfill,fulfilling,evenness,self,soul,glories,heavens,wisdom,souls,fulfills,me,beloved,admiration,humility,demigods,loyalty,everyone,totality,compassion,faith,righteous,selfishly,blessing,ego,sacred,ahamkara,reverence",2,"immortality,immortal,immortals,heaven,eternal,heavenborn,heavens,heavenly,celestial,paradise,everlasting,mortal,mortality,inlife,divine,beings,forever,deathless,wisdom,glories,godless,sanctified,worships,worshipper,death,gods,dies,worship,blessedness,worshipped,dying,godfearing,glory,godly,sacred,perpetual,sorrowless,soul,sanctity,earthly,god,worshipping,souls,devotion,alive,existence,holy,life,omniscient,sanctities",13,0.7006115
3,"meditation,meditate,spiritually,spiritual,yoga,minds,asceticism,spirit,nirvana,wisdom,oneself,selflessly,inner,mind,selfless,consciousness,buddhi,dharma,contemplative,self,krishna,selfishly,calmness,devotee,devotion,cheerfulness,duryodhana,soul,spirits,serene,devote,eternal,devotees,yuyudhana,solitude,sankhya,teachings,attaining,eternity,selfish,conscious,jayadratha,shraddha,mantram,thoughtless,attain,liberation,worship,nonbeing,selfrealization",3,"meditation,meditating,meditates,spiritual,spirit,meditated,meditate,meditations,spirits,butspirit,worship,worshipper,worshipped,worshipping,mindless,worships,soul,minds,contemplation,mind,devotion,devotee,souls,eternal,immortality,sacred,desires,mental,adoration,desire,divine,transcending,yoga,transcends,devotees,ritual,transcend,immortal,chakra,mindmaterial,rituals,buddhi,selfexistent,heavenly,godfearing,venerable,heaven,imagination,awakened,enlightened",6,0.79574203
4,"immortality,death,mortality,immortal,deathless,eternity,eternal,dying,mortal,dead,mortals,dies,nonexistence,life,soul,born,lifetimes,existence,everlasting,lifes,souls,unborn,beings,lives,living,heaven,rebirth,lifegiving,invincible,suffering,reborn,birth,lived,heavens,forever,live,spiritual,killing,die,selfless,misery,spiritually,heavenly,sorrow,grieves,inevitable,grieve,killed,spirits,demonic",4,"immortality,death,immortal,inlife,deathless,dead,mortality,life,dying,immortals,eternal,mortal,dies,alive,soul,incarnation,lives,souls,living,unliving,heavenborn,existence,heaven,everlasting,beings,funeral,paradise,live,lived,sorrowless,spirits,heavens,spirit,sacrificed,enlivening,misery,killing,spiritual,die,heavenly,killed,butspirit,sacrifice,sorrow,perpetual,atbirth,deadly,born,sacrificer,grief",4,0.8862426
5,"gods,eternal,universe,beings,eternity,heavens,celestial,immortality,heavenly,divine,god,heaven,immortal,everlasting,soul,existence,earth,spiritual,souls,ahamkara,spiritually,demigods,spirits,darkness,cosmic,worships,totality,glories,spirit,cosmos,illumined,worship,nonexistence,worlds,glory,world,infinite,every,awakened,mankind,demons,demonic,vishnu,mortal,glorious,brahma,forever,lord,all,everything",5,"heavenborn,eternal,heavens,celestial,heaven,fire,heavenly,spirits,gods,ablaze,immortality,beings,burning,spirit,immortal,divine,flame,soul,spiritual,godless,darkness,everlasting,god,souls,blaze,flames,earthly,immortals,butspirit,fires,sorrowless,mortal,godfearing,worshipped,worships,earth,worship,lightning,sun,worshipper,enlightened,dawns,dies,godly,sacred,deathless,sacrifice,devotion,sacrificed,goddess",0,0.8227978
6,"brahman,wisdom,devotees,brahma,devotee,teachings,sages,worships,divine,devote,ahamkara,dharma,ashvattha,devotion,sage,worship,buddhi,blessing,wise,spiritually,mantram,vaishya,beings,sacred,blessed,gods,spiritual,reverence,shraddha,eternal,ikshvaku,jayadratha,asceticism,intellects,knowledge,yudhamanyu,vishnu,understanding,fulfill,intellectual,instruct,meditation,instructions,meditate,krishna,commanded,attains,guided,attain,praise",6,"knowledge,whoknows,knowthe,wisdom,known,unknowable,knower,knowing,knew,knows,omniscient,knowings,unknown,know,eternal,enlightened,spiritual,spirit,ignorance,spirits,butspirit,knowable,aware,ignorant,revelation,beings,enlighten,mystery,mysterious,sages,intellectual,heavenborn,sage,intelligence,heaven,recognise,understanding,intellect,earthly,believes,wise,divine,discovers,existence,heavens,secret,learnt,immortality,mindless,heavenly",10,0.6654535
7,"existence,universe,beings,eternal,nonexistence,immortality,creatures,eternity,creature,cosmos,immortal,everlasting,exist,everything,totality,creation,gods,born,ahamkara,myself,cosmic,soul,nothing,selfless,exists,unborn,spiritual,reality,spiritually,selflessly,souls,earth,demigods,world,existed,worlds,life,divine,unity,inanimate,creator,celestial,unkindness,forever,spirit,heavens,all,every,infinite,spirits",7,"eternal,everything,beings,immortality,immortal,everybodys,everybody,all,every,everyone,earthly,allcontaining,whatever,forever,everlasting,whosoever,whole,selfexistent,immortals,nothing,completely,omniscient,himself,whoever,omnipresent,spirit,celestial,itself,existence,heavenborn,butspirit,soul,earth,worldly,spirits,anything,heavenly,perpetual,nobody,each,whatsoever,self,heavens,wholly,truths,unliving,truth,eternalthrough,abody,selfborn",5,0.73275447
8,"ignorance,ignorant,wisdom,delusions,darkness,delusion,evils,intellects,eternal,asceticism,knowledge,evil,fearless,intellectual,sorrow,fearful,sinful,unwise,intellect,obscured,suffering,immortality,nonexistence,illumined,beings,wise,aware,fears,arrogance,ahamkara,sins,eternity,unkindness,invincible,immortal,unknown,deluded,sin,arrogant,fear,knowers,enemies,knower,profound,wrongdoing,belief,cruelty,devotees,greed,deceive",8,"knowledge,whoknows,knowthe,wisdom,known,unknowable,knower,knowing,knew,knows,omniscient,knowings,unknown,know,eternal,enlightened,spiritual,spirit,ignorance,spirits,butspirit,knowable,aware,ignorant,revelation,beings,enlighten,mystery,mysterious,sages,intellectual,heavenborn,sage,intelligence,heaven,recognise,understanding,intellect,earthly,believes,wise,divine,discovers,existence,heavens,secret,learnt,immortality,mindless,heavenly",10,0.71437955
9,"enemy,enemies,conquer,defeat,fight,fighting,conquered,battle,fought,nonviolence,dishonor,fearful,evil,surrender,fearless,fear,invincible,ahamkara,evils,forgiving,destroy,victory,victorious,fears,glories,destruction,brave,sacrifice,warrior,surrendering,destroying,honor,sacrificing,suffering,heroic,sorrow,devotion,sinful,anger,glory,win,overcomes,overcome,humility,destroyer,harm,forgiveness,afraid,lose,agni",9,"immortality,death,immortal,inlife,deathless,dead,mortality,life,dying,immortals,eternal,mortal,dies,alive,soul,incarnation,lives,souls,living,unliving,heavenborn,existence,heaven,everlasting,beings,funeral,paradise,live,lived,sorrowless,spirits,heavens,spirit,sacrificed,enlivening,misery,killing,spiritual,die,heavenly,killed,butspirit,sacrifice,sorrow,perpetual,atbirth,deadly,born,sacrificer,grief",4,0.61370814
10,"senses,sense,feeling,selflessly,selfless,selfishly,feel,selfish,minds,oneself,themselves,perceive,spirit,perceived,consciousness,spirits,self,spiritually,itself,spiritual,conscious,soul,asceticism,sensual,insensitivity,souls,mind,eternal,ego,desires,possessing,desire,nonbeing,intellects,aware,awareness,himself,perception,lust,beings,realizes,possess,thoughtless,wisdom,compassion,minded,lusts,inner,contemplative,evenness",10,"self,oneself,selfevident,selfwilled,himself,selfdependent,selfcreator,selfexistent,selfborn,selfdepending,itself,selfinterest,owns,herself,myself,themselves,selfcreated,yourself,selfcontrolled,own,solitude,soul,selfcontrol,loneliness,yourselves,eternal,ourselves,alone,independence,solitary,lonely,individual,impersonal,master,beings,personality,whoknows,intellect,personal,intellectual,mental,belongs,spirit,living,unliving,existence,wisdom,mastery,spiritual,souls",7,0.63692015
11,"forgiving,renunciation,fulfill,selfless,nonbeing,unpleasant,selflessly,fulfilling,insatiable,indulging,fulfills,virtuous,devotion,fulfillment,devote,obligation,reward,sacrificing,sinful,abstain,surrender,surrendering,righteous,unworthy,unavoidable,unending,sin,obliged,endlessly,devotee,fulfilled,compassionate,satisfaction,endless,inconceivable,imperfectly,deceive,sincerely,beholding,sincere,selfishly,unkindness,incapable,gratification,heedlessness,act,restlessness,sacrifice,selfish,dishonor",11,"himself,self,selfexistent,oneself,desires,eternal,beings,desire,selfwilled,devotee,worship,sinful,worshipper,gods,godless,worships,worshipping,selfevident,mankind,sin,god,worshipped,whoever,itself,sinner,devotees,devotion,sins,spiritual,whosoever,herself,themselves,omniscient,wishes,owns,selfcreator,loving,whatever,nobody,belongs,individual,godfearing,butspirit,selfdepending,wisdom,divine,mindless,whose,arrogant,soul",3,0.64440775
12,"actions,act,action,acts,acting,inaction,selflessly,selfless,themselves,unaffected,indifference,ignorance,activities,interact,selfishly,enemies,nothing,nonviolence,intent,wisdom,duties,ignorant,everything,incapable,aware,activity,enemy,oneself,indivisible,unavoidable,nonbeing,self,freely,ignoring,active,selfish,surrender,ego,asceticism,fearless,abstain,conscious,none,insatiable,disregard,awareness,fulfills,harm,hidden,fulfill",12,"himself,self,selfexistent,oneself,desires,eternal,beings,desire,selfwilled,devotee,worship,sinful,worshipper,gods,godless,worships,worshipping,selfevident,mankind,sin,god,worshipped,whoever,itself,sinner,devotees,devotion,sins,spiritual,whosoever,herself,themselves,omniscient,wishes,owns,selfcreator,loving,whatever,nobody,belongs,individual,godfearing,butspirit,selfdepending,wisdom,divine,mindless,whose,arrogant,soul",3,0.56324613
13,"beings,spiritual,gods,divine,heavens,ocean,spiritually,shudra,ahamkara,rudras,sacred,worships,devotees,celestial,eternal,krishna,sea,wisdom,sankhya,jayadratha,devotee,heavenly,vishnu,heaven,devotion,poets,ashvattha,poetic,spirits,worship,hymns,rivers,spirit,eternity,earth,dearest,brahma,poet,transcends,vaishya,demigods,yudhamanyu,soul,yuyudhana,immortality,devote,sages,majestic,creatures,god",13,"heavenborn,eternal,heavens,celestial,heaven,fire,heavenly,spirits,gods,ablaze,immortality,beings,burning,spirit,immortal,divine,flame,soul,spiritual,godless,darkness,everlasting,god,souls,blaze,flames,earthly,immortals,butspirit,fires,sorrowless,mortal,godfearing,worshipped,worships,earth,worship,lightning,sun,worshipper,enlightened,dawns,dies,godly,sacred,deathless,sacrifice,devotion,sacrificed,goddess",0,0.75783193
